method;level;f1_weighted_mean;hierarchial_f1_mean;accuracy_mean;macro_f1_mean;mcc_mean;kappa_mean;r2_mean;pearson_corr_mean;ari_mean;nmi_mean;jsd_mean;jsd_scaled_mean;kl_divergence_mean;kl_scaled_mean;f1_weighted_std;hierarchial_f1_std;accuracy_std;macro_f1_std;mcc_std;kappa_std;r2_std;pearson_corr_std;ari_std;nmi_std;jsd_std;jsd_scaled_std;kl_divergence_std;kl_scaled_std;stability
leiden_res1_0;level_1;0.9621525436426845;;0.9271013633669234;0.24053813591067114;0.0;0.0;0.9984762853593374;0.9992378465774643;0.0;0.0;0.19319877053704676;0.8068012294629533;2.208740656635194;0.31378625068255583;0.0050033086735734355;;0.009305923136010762;0.0012508271683933589;0.0;0.0;0.00023778654112736772;0.00011898828500288423;0.0;0.0;0.012862425595034144;0.012862425595034132;0.2910958795521416;0.029512974185495727;0.9499669132642656
leiden_res1_0;level_2;0.7975442520269158;;0.7605133372851215;0.29728394995916674;0.4746724623908434;0.4508561618200749;0.9731260995510012;0.9864535206362935;0.30248387606024085;0.19700333751560176;0.21193329677885223;0.7880667032211479;2.239670085735855;0.3108720619823725;0.01112167582565174;;0.015193304526519246;0.003806158650230691;0.015250263980897587;0.017980709394665187;0.013141716452110675;0.006666256001555835;0.024003532910269486;0.011857187498641971;0.017645661787043618;0.01764566178704361;0.30018303268919255;0.029722760626065232;0.8887832417434826
leiden_res1_0;level_3;0.5894463236431313;0.7268990995571931;0.5408689982216953;0.32278591953660035;0.44983647835699136;0.44177707976347114;0.7594619614408245;0.8712615802338968;0.2665667470474052;0.31626836232330074;0.3499210877018818;0.6500789122981182;6.416328133287193;0.1353801368513943;0.010522763061140103;0.014650995083547285;0.012299919726308855;0.021965814582249863;0.011089403331821705;0.01145041782153984;0.037117188597209125;0.021366452944899323;0.008457104663838262;0.0065041477603076485;0.013137669852340364;0.013137669852340411;0.5225940032804686;0.009637999339596436;0.8947723693885989
leiden_res2.0;level_1;0.9685292321222928;;0.9389922940130409;0.2421323080305732;0.0;0.0;0.9987587771397962;0.999379190352809;0.0;0.0;0.17647223860091155;0.8235277613990885;1.8349193084940907;0.3538851410907357;0.0033237665890127827;;0.006259652130342248;0.0008309416472532111;0.0;0.0;0.0002570879435206385;0.00012862480423063137;0.0;0.0;0.009407670504717863;0.009407670504717865;0.1933424016752911;0.025105070312747835;0.9667623341098722
leiden_res2.0;level_2;0.8309846123742418;;0.8007903576368306;0.3117124144282401;0.5302142141513168;0.5147503255763092;0.990524309228359;0.9952497659536945;0.3832994106541278;0.24554295228409476;0.1850806181239039;0.8149193818760961;1.8472260315819746;0.3523082772914666;0.0040760879119981904;;0.005697555283810083;0.001856639654487156;0.01183861778748149;0.01158236802660232;0.003626903713142486;0.0018217837996213195;0.011198040980870221;0.009536698358346153;0.006975061637705149;0.006975061637705155;0.19022403269887297;0.024456089686007123;0.9592391208800181
leiden_res2.0;level_3;0.6165218348097117;0.7687041898367156;0.579794507014424;0.3043995957907945;0.48258467559140344;0.47877519859963674;0.9049013497601154;0.9512514524405854;0.2874114185315455;0.3301970018773379;0.2848924135980389;0.715107586401961;4.280240339913128;0.1896133114740358;0.0032873874619421383;0.004752815571417806;0.0025545651496359984;0.003017603762527171;0.002832705525497103;0.002750069008122034;0.010938853298727895;0.005747693858253893;0.0016374477883135334;0.002875413067888353;0.0031143207395715605;0.003114320739571584;0.2216409264344573;0.008147560121588052;0.9671261253805786
leiden_res2_0;level_1;0.9668141434408192;;0.9357866034380556;0.2417035358602048;0.0;0.0;0.9988711302374981;0.9994353962999011;0.0;0.0;0.1810360687761287;0.8189639312238712;1.9323618005805543;0.3431677282023878;0.004266250349090693;;0.008010563985328014;0.0010665625872726644;0.0;0.0;0.00030692347952706635;0.00015354298148839457;0.0;0.0;0.011791944090843892;0.011791944090843888;0.25303973438878535;0.031118263356623536;0.957337496509093
leiden_res2_0;level_2;0.828390735402982;;0.7967599288678127;0.3104338049060688;0.5251943878896441;0.5087617790331215;0.9900447757464542;0.9950083294731747;0.37837960296140405;0.24001362485258732;0.18998228492497105;0.810017715075029;1.9456983936553371;0.3416399416071065;0.003788587200046447;;0.00698083262488036;0.0012008810763035598;0.005557406780472539;0.0068175684455633835;0.003979493261768541;0.002000007955042467;0.010271262639657502;0.00463998338689323;0.013288515182542099;0.013288515182542104;0.2557689703286869;0.031161534948591595;0.9621141279995356
leiden_res2_0;level_3;0.6169888535580816;0.7648427131851953;0.5780094842916419;0.3145361966829213;0.4822134724519419;0.47775311252729813;0.8851601645534389;0.9407925739194676;0.2926448987397019;0.3316973997078209;0.29691849429848666;0.7030815057015134;4.64283708415322;0.177549702289374;0.005065534525945416;0.006063632957044957;0.005258200673039809;0.01762583525203778;0.005809276744618216;0.00613292069484965;0.017480801574182595;0.009320502361857651;0.006528242521151916;0.004821017802664571;0.010595819803651478;0.010595819803651499;0.2691992433402062;0.00875456556924066;0.9493446547405459
logistic_regression_default_StratifiedGroupKFold;level_1;0.9533218510478576;;0.9125536915565335;0.2546521812338476;0.0;0.0;0.9960802392469221;0.9980353732305515;0.0;0.0;0.20422980988086809;0.7957701901191319;2.6968808765749657;0.3205394858244794;0.03606898158310584;;0.06336446755212229;0.04096754707139122;0.0;0.0;0.0052876887798827005;0.002653541849065028;0.0;0.0;0.07200845017407123;0.07200845017407119;2.0431867008315825;0.11858019385348006;0.6393101841689416
logistic_regression_default_StratifiedGroupKFold;level_2;0.8200630926132959;;0.7805656593657846;0.3220997767233208;0.5294115176291049;0.507668500066351;0.9523325488697709;0.9753878983844535;0.4048253423818219;0.26683058357202405;0.2198522776027267;0.7801477223972733;2.7260885918441957;0.31788684751998825;0.08549971308398079;;0.1052565791263412;0.041035146129459306;0.10895128203992085;0.12332222056459136;0.06633033264639786;0.03447819156600877;0.1606703908759862;0.09066279814603219;0.07926850882971596;0.07926850882971594;2.069917252719441;0.11619667090423685;0.14500286916019223
logistic_regression_default_StratifiedGroupKFold;level_3;0.6794055075316864;0.7552762687019098;0.6228471857669355;0.34096726712638015;0.5559355595614272;0.546259533874465;0.7594071740919914;0.861758285106849;0.41048356455017043;0.4098117890686909;0.3419625799801457;0.6580374200198543;6.52887881371597;0.1672944868571622;0.09327504434007083;0.10821929684579144;0.12043390664105426;0.04802745380519829;0.12540608058234728;0.13150712169801862;0.23637670117069354;0.14482675918875426;0.10349649192669359;0.08127531872115919;0.12449157341860778;0.12449157341860782;4.705091093733063;0.07462985526634124;0.06724955659929166
maps;level_1;0.9740012125410384;;0.9497982590727727;0.25966823645004933;0.0;0.0;0.9988216970582677;0.9994104663100346;0.0;0.0;0.15388939188222356;0.8461106081177764;1.507379399882882;0.4471612907712717;0.018114759170849114;;0.033858684128108725;0.035886700171817575;0.0;0.0;0.0014425691339856612;0.0007218796877215447;0.0;0.0;0.05082916908054026;0.050829169080540276;1.0673316422245107;0.14530295742862498;0.8188524082915088
maps;level_2;0.8750554099054371;;0.8502222081995727;0.350721677915337;0.6513108725554769;0.6356082638864076;0.9830625071533843;0.9914427875882588;0.5264985320789446;0.37731920037424144;0.16449607456117568;0.8355039254388243;1.5224848599241696;0.44495898015100616;0.046238958147855024;;0.05893299969167244;0.026681126697360058;0.07488247091924953;0.08499844897187012;0.02245511253365651;0.011385631987690225;0.12103378698089438;0.08012000472074578;0.055583435498450746;0.055583435498450726;1.0753407574084592;0.1455924388194575;0.5376104185214499
maps;level_3;0.7471532322953831;0.8276622038786083;0.7081281582141183;0.38060336128752825;0.6490079933461071;0.6426618512326112;0.8697695474728118;0.9283626584242539;0.4972823950657501;0.49679123434935296;0.26503711047840706;0.7349628895215929;3.8245498462483924;0.24931941917583264;0.08517447734685885;0.06471083033725156;0.10159766053953542;0.031182370597011684;0.1106978990824964;0.11615408072202567;0.1739753148665576;0.09945050223769544;0.11409614845347245;0.07860295450123372;0.0938473522229852;0.09384735222298518;2.4126782813117664;0.10527577985336724;0.14825522653141154
most_frequent_default_StratifiedGroupKFold;level_1;1.0;;1.0;1.0;0.0;;;;1.0;1.0;0.0;1.0;0.0;1.0;0.0;;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;1.0
most_frequent_default_StratifiedGroupKFold;level_2;0.5468254329230708;;0.6510888704436218;0.3776761539820864;0.0;0.0;1.0;0.6;0.0;0.0;0.44379536811996234;0.5562046318800377;0.8062058778662304;0.6383262690563274;0.2787768929408895;;0.2677667472619092;0.12849143162031962;0.0;0.0;1.9229626863835638e-16;0.8944271909999159;0.0;0.0;0.20177417610851522;0.20177417610851525;0.9605428593571405;0.19956914545223448;0.0
most_frequent_default_StratifiedGroupKFold;level_3;0.09237160881908926;0.5826093817257922;0.21061514327081046;0.05480977962042195;0.0;0.0;0.3627889752717252;0.2876036583641026;0.0;0.0;0.7861784005488446;0.21382159945115548;8.908811800119782;0.27833641519606866;0.07075203082331495;0.2505848005673153;0.13877286221538485;0.03476875081215864;0.0;0.0;0.21365218836816702;0.5916852108250951;0.0;0.0;0.1336188844035925;0.13361888440359254;15.455076148467587;0.14869331549498058;0.2924796917668505
