method;dataset;level;Weighted F1;Hierarchical F1;Macro F1;MCC;ARI;JSD Scaled;Overall Performance;Stability;Scalability
FlowSOM Meta Clusters;IMMUcan;level_3;0.5207781609697473;0.626054501485268;0.2023368945721028;0.4376180220703765;0.4474668644255121;0.5504673534204719;0.31316892064815305;0.9340899990553077;0.6244996180555555
Logistic Regression;IMMUcan;level_1;0.8841679256704318;;0.7925609680283641;0.8166880442755013;0.7183168204945759;0.9360900788513478;0.63311282566977;0.9365654871733152;0.6248750173611111
Logistic Regression;IMMUcan;level_2;0.8637738435814605;;0.7883328565302277;0.8049572934164235;0.7127038337321838;0.9330264557528248;0.6258413263512776;0.9269379581099868;0.6248750173611111
Logistic Regression;IMMUcan;level_3;0.8391538951112395;0.7688473617431466;0.7464084911155876;0.7834740899239808;0.7355220316323292;0.9077875589826492;0.6080174090342162;0.9233859626189608;0.6248750173611111
MAPS;IMMUcan;level_1;0.9314546957834752;;0.8810426140767007;0.8916470704278551;0.8214533142451529;0.967688882839313;0.6854096193065969;0.9749074493581836;0.6100960416666666
MAPS;IMMUcan;level_2;0.9213860726252868;;0.8780016253696991;0.8876265630826456;0.8270316974403858;0.9664718136166858;0.682686562739748;0.9729611981530536;0.6100960416666666
MAPS;IMMUcan;level_3;0.9037548631331356;0.8204287726732267;0.8474691385481006;0.8724835827477053;0.8395964456788562;0.9569839620591326;0.6705971134618673;0.9728915585371636;0.6100960416666666
Most Frequent;IMMUcan;level_1;0.2911312066693061;;0.1577992550437234;0.0;0.0;0.4145019850014856;0.12788108227601191;0.9587085286086204;0.4999999479166667
Most Frequent;IMMUcan;level_2;0.2911312066693061;;0.1262394040349787;0.0;0.0;0.4145019850014857;0.121569112074263;0.9587085286086204;0.4999999479166667
Most Frequent;IMMUcan;level_3;0.2911312066693061;0.4611641134220999;0.0450855014410638;0.0;0.0;0.4145019850014857;0.10533833155548002;0.9587085286086204;0.4999999479166667
Random Forest;IMMUcan;level_1;0.9406768245262258;;0.893150368334082;0.9060061362222612;0.8457797055210463;0.9772687832337588;0.6952742232651996;0.9810116308395124;0.6242631770833333
Random Forest;IMMUcan;level_2;0.93091462191884;;0.891082785934626;0.9011962490768044;0.8473599877815472;0.9771411592149216;0.6924478846376149;0.980979616765702;0.6242631770833333
Random Forest;IMMUcan;level_3;0.9150936259706726;0.8314711964201054;0.8594904167160362;0.8891458340952708;0.8575708500326561;0.9637021551070714;0.68039215693303;0.98022548212502;0.6242631770833333
RIBCA;IMMUcan;level_1;0.2502598484895142;;0.1755216348787817;0.1455311166193024;0.0716129661764272;0.3707583144764623;0.15447216108922873;1.0;0.8834935416666667
RIBCA;IMMUcan;level_2;0.2089552405263207;;0.2201455215690267;0.2139876446490939;0.1027138008445333;0.3687371718174859;0.1727250364134964;1.0;0.8834935416666667
RIBCA;IMMUcan;level_3;0.1398616754891434;0.3006962477148294;0.1680114278809735;0.1960994378549681;0.1737680290842596;0.2837456695913717;0.14315096390315665;1.0;0.8834935416666667
RIBCA_adapted;IMMUcan;level_1;0.2935360544272675;;0.226101241109579;0.1795538346869554;0.0764939217531234;0.3204778635879153;0.1726736412384694;1.0;0.8834935416666667
RIBCA_adapted;IMMUcan;level_2;0.2444478235886703;;0.2813503007675361;0.2586113359333154;0.1284886998389075;0.3201058457673008;0.19579577659354624;1.0;0.8834935416666667
RIBCA_adapted;IMMUcan;level_3;0.1876107348564011;0.3220781736348747;0.2664769318560571;0.2637474714874504;0.2311164120034231;0.2585749569768752;0.18558090604322455;1.0;0.8834935416666667
Scyan;IMMUcan;level_1;0.8265346572164501;;0.6145677372983934;0.7463883395109171;0.6364510414200951;0.8701673918259926;0.5597729308492209;0.9413014952587646;0.8727363541666666
Scyan;IMMUcan;level_2;0.7985383638654048;;0.6274368475943269;0.7304866784614034;0.6471005711742248;0.8695406731713121;0.5554637699041063;0.9401394347064004;0.8727363541666666
